iter	Passed	Remaining
0	159	159366
1	161	80539
2	163	54499
3	165	41185
4	166	33224
5	168	27956
6	169	24103
7	172	21377
8	173	19120
9	175	17364
10	177	15947
11	178	14723
12	180	13704
13	182	12846
14	183	12067
15	185	11420
16	187	10839
17	189	10324
18	191	9882
19	193	9483
20	194	9085
21	196	8756
22	198	8424
23	200	8142
24	201	7871
25	203	7612
26	204	7378
27	206	7154
28	207	6950
29	209	6770
30	210	6584
31	211	6403
32	213	6250
33	215	6111
34	216	5965
35	218	5860
36	219	5724
37	221	5614
38	222	5491
39	224	5392
40	226	5301
41	227	5195
42	229	5099
43	230	5017
44	232	4927
45	234	4860
46	236	4791
47	237	4711
48	238	4637
49	240	4572
50	241	4496
51	243	4434
52	245	4384
53	246	4322
54	248	4274
55	250	4215
56	252	4172
57	253	4117
58	256	4091
59	257	4037
60	259	3997
61	260	3944
62	263	3916
63	264	3866
64	265	3815
65	266	3765
66	267	3718
67	269	3691
68	271	3658
69	272	3615
70	273	3573
71	275	3551
72	277	3523
73	278	3482
74	281	3467
75	283	3441
76	284	3414
77	287	3403
78	289	3380
79	291	3348
80	294	3338
81	296	3314
82	296	3277
83	298	3257
84	300	3233
85	301	3207
86	303	3184
87	305	3164
88	307	3143
89	308	3114
90	310	3103
91	312	3080
92	313	3053
93	313	3025
94	316	3013
95	318	2996
96	319	2970
97	319	2944
98	322	2932
99	324	2918
100	326	2907
101	328	2894
102	330	2878
103	331	2855
104	332	2833
105	333	2815
106	335	2804
107	337	2789
108	341	2790
109	342	2772
110	344	2759
111	346	2744
112	348	2737
113	350	2720
114	351	2703
115	353	2696
116	355	2680
117	356	2664
118	358	2652
119	360	2641
120	361	2624
121	362	2607
122	364	2595
123	365	2580
124	367	2570
125	368	2556
126	370	2544
127	371	2530
128	373	2523
129	416	2785
130	417	2772
131	419	2757
132	422	2755
133	426	2754
134	430	2758
135	432	2747
136	433	2731
137	434	2715
138	438	2713
139	440	2703
140	441	2687
141	442	2674
142	445	2671
143	446	2656
144	449	2647
145	450	2635
146	451	2620
147	452	2605
148	453	2590
149	455	2581
150	457	2571
151	458	2557
152	459	2543
153	460	2531
154	462	2520
155	464	2510
156	465	2496
157	466	2487
158	468	2475
159	469	2466
160	470	2452
161	472	2445
162	474	2436
163	475	2424
164	479	2424
165	481	2418
166	484	2417
167	485	2406
168	488	2401
169	492	2402
170	497	2411
171	498	2400
172	501	2398
173	504	2392
174	508	2399
175	511	2393
176	512	2384
177	514	2376
178	517	2373
179	518	2361
180	519	2350
181	521	2342
182	522	2334
183	523	2323
184	525	2316
185	527	2308
186	529	2300
187	530	2291
188	532	2283
189	533	2273
190	534	2263
191	535	2252
192	536	2242
193	538	2236
194	540	2232
195	543	2229
196	544	2219
197	545	2209
198	546	2199
199	547	2189
200	548	2181
201	550	2175
202	552	2168
203	553	2159
204	554	2151
205	556	2145
206	557	2136
207	559	2130
208	560	2121
209	562	2115
210	563	2107
211	565	2100
212	567	2095
213	568	2089
214	570	2081
215	571	2075
216	573	2069
217	575	2065
218	577	2057
219	578	2051
220	580	2045
221	581	2036
222	582	2028
223	583	2020
224	585	2016
225	586	2009
226	589	2007
227	590	2001
228	593	1996
229	594	1991
230	596	1984
231	597	1976
232	598	1969
233	599	1961
234	600	1954
235	603	1952
236	604	1947
237	605	1939
238	607	1935
239	609	1929
240	610	1922
241	611	1915
242	613	1912
243	615	1907
244	616	1900
245	617	1893
246	619	1889
247	621	1884
248	622	1878
249	623	1870
250	625	1866
251	626	1860
252	627	1853
253	628	1846
254	629	1839
255	631	1836
256	633	1832
257	634	1825
258	636	1820
259	638	1816
260	640	1812
261	641	1805
262	641	1798
263	643	1793
264	644	1788
265	645	1782
266	646	1775
267	647	1769
268	649	1765
269	650	1759
270	651	1753
271	652	1747
272	653	1741
273	656	1738
274	657	1733
275	658	1727
276	659	1721
277	661	1719
278	663	1714
279	664	1708
280	665	1702
281	667	1698
282	668	1693
283	669	1688
284	670	1682
285	671	1676
286	672	1670
287	674	1667
288	675	1663
289	676	1657
290	677	1651
291	679	1646
292	681	1643
293	682	1638
294	683	1632
295	684	1628
296	686	1624
297	687	1619
298	688	1613
299	689	1607
300	690	1604
301	692	1600
302	693	1595
303	694	1589
304	695	1584
305	697	1581
306	698	1577
307	699	1572
308	700	1566
309	701	1561
310	703	1558
311	705	1555
312	706	1549
313	707	1544
314	707	1539
315	709	1536
316	711	1532
317	712	1527
318	712	1521
319	713	1516
320	715	1513
321	716	1509
322	717	1504
323	718	1499
324	719	1494
325	721	1491
326	723	1488
327	724	1483
328	725	1478
329	725	1473
330	728	1471
331	729	1468
332	730	1463
333	731	1458
